区分,幼稚園_公立,幼稚園_私立,小学校_公立,小学校_私立,中学校_公立,中学校_私立,高等学校_公立,高等学校_私立
計(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0円,,,,,,,,
1円～1万円未満,,,,,,,,
1～5万円未満,1.0,0.0,0.1,,0.2,,0.4,
5～10万円未満,5.9,0.3,5.0,,1.8,,3.6,0.0
10～15万円未満,20.3,0.4,11.1,,4.3,,5.5,0.2
15～20万円未満,23.1,2.2,15.8,0.0,5.7,,7.6,0.5
20～25万円未満,18.3,4.2,13.8,0.2,6.6,0.1,9.3,1.1
25～30万円未満,11.1,9.1,12.4,0.1,8.8,0.4,10.5,1.1
30～35万円未満,6.2,8.7,10.7,0.2,8.4,0.0,9.4,1.6
35～40万円未満,5.0,13.1,7.1,0.2,8.7,0.3,7.9,1.9
40～45万円未満,2.8,10.9,5.6,0.5,8.3,0.3,6.9,2.8
45～50万円未満,1.6,10.5,4.6,0.6,7.2,0.3,5.5,3.4
50～55万円未満,0.6,9.4,2.7,0.5,6.1,0.5,5.3,3.5
55～60万円未満,1.3,9.4,1.8,0.9,6.1,0.6,3.7,4.2
60～65万円未満,0.9,7.1,1.8,1.0,5.0,0.9,5.0,5.1
65～70万円未満,0.4,3.5,1.5,1.3,3.9,1.1,2.6,4.3
70～75万円未満,0.3,2.1,1.2,1.5,4.0,2.3,3.0,4.9
75～80万円未満,0.3,2.8,1.0,1.8,3.2,3.2,2.2,3.9
80～85万円未満,0.2,2.0,0.5,2.2,2.5,3.1,1.7,4.1
85～90万円未満,0.0,1.2,0.5,2.7,1.9,3.2,1.8,4.5
90万円以上,0.7,3.0,2.9,86.3,7.3,83.7,8.0,52.9
支出者平均額(千円),234,482,322,1528,479,1327,451,1040